From,To,length,well,inverse_rho_Ca,Al2O3,Au,CaO,Cr,Cr2O3,Cu,Fe2O3,FeO,GR,IPlin161,IPlin1610,IPlin641,IPlin6410,K,K2O,Litho,MagSusc,Mg,MgO,MnO,N16,N32,N64,N8,Na2O,Ni,P2O5,rho_ND,S,SP,Th,TiO2,U,Vp,Vs,Sc,SPR,caliper,Co,Ba,SiO2
194.81,196.81,2,1,Inverse relationship,1.15206,0.019,1.93871,0.838532,5.57787,3.43084,2.67008,1.32877,3.1636,79.6052,18.7641,153.268,45.6654,0.04176,7.61827,M1CbFu3,0.506564,539.582,1.16539,2.07412,3068.4,3687.92,3893.65,1966.1,3.21874,1.89355,663.975,2.8604,30.1651,32.55,0.355003,-0.291325,0.0756921,6605.71,3795.07,,939.523,5.35777,,,
196.81,198.81,2,1,Inverse relationship,0.637995,0.0325,1.6126,0.473718,4.27265,2.95013,1.92946,0.858824,2.67451,70.6098,14.7857,134.585,40.5547,0.04337,9.55738,M1CbFu3,0.467727,478.179,0.919431,1.40086,3321.31,4046.13,4025.39,2085.01,1.01349,1.55343,451.552,2.799,20.9915,-72.855,0.363414,-0.483258,0.130609,6351.5,3861.08,,965.999,5.36941,,,
198.81,200.81,2,1,Inverse relationship,0.39294,0.0365,1.55591,0.239974,3.43636,2.7063,1.52593,0.602771,7.86894,77.6664,18.1912,143.969,45.5217,0.18924,36.5374,M1CbFu3,0.461838,392.032,0.574355,1.07482,3596.09,4679.5,5756.91,2193.97,1.16264,0.986897,401.269,2.8794,24.0214,-160.185,0.70137,-0.540673,0.267764,6678.69,3808.42,,987.268,5.38279,,,
200.81,202.81,2,1,Direct relationship,0.372304,0.031,0.863344,0.214974,3.34692,2.16011,1.45446,0.557424,10.6225,78.7523,18.1753,151.113,47.0248,0.1931,81.0459,M1CbFu3,0.467166,367.536,0.476232,0.956255,3409.83,4323.66,5202.26,2113.35,0.677908,0.941359,309.322,2.8706,17.2969,-125.115,0.831194,-0.421248,0.305377,6641.75,3819.81,,968.738,5.37387,,,
202.81,204.81,2,1,Direct relationship,0.455995,0.053,1.22154,0.439969,4.1519,2.25114,1.69432,0.709623,11.7703,78.0824,18.5283,151.838,48.4665,0.25652,75.4153,M1CbFu3,0.453706,415.797,0.669548,1.1835,3578.6,4642.69,5722.21,2185.71,0.566048,1.27451,573.67,2.8743,18.548,-183.3,0.990466,-0.448808,0.54172,6661.05,3793.43,,984.424,5.36829,,,
204.81,206.81,2,1,Direct relationship,0.46746,0.0646667,0.932968,0.429969,4.11612,1.66593,1.66968,0.693986,8.58365,84.7089,19.9884,145.7,44.9748,0.2354,59.3279,M1CbFu3,0.44964,415.797,0.669548,1.16374,3164.84,4001.49,4982.49,1989.99,1.01349,1.48063,343.802,2.8496,18.548,-84.39,0.546379,-0.265077,0.215669,6559.93,3746.18,,937.327,5.38279,,,
206.81,208.81,2,1,Direct relationship,0.377463,0.0455,0.574773,0.358971,3.86211,1.69194,1.50252,0.587916,12.4627,75.6569,16.6227,146.564,44.9299,0.22064,25.5443,M1CbFu3,0.443471,388.924,0.561906,0.902903,3515.4,4493.46,5298.68,2157.71,1.4833,1.12471,361.042,2.8439,23.6305,-176.79,0.899351,-0.421248,0.392998,6534.46,3794.09,,977.075,5.36048,,,
208.81,209.81,1,1,Direct relationship,0.306956,0.0535,0.827617,0.459969,4.22345,1.01571,1.48486,0.57671,5.29654,72.9162,16.488,142.652,46.1045,0.04673,24.4718,M1CbFu3,0.455529,432.249,0.735451,1.02542,3749.94,4934.12,6314.11,2263.5,0.789769,1.33682,458.736,2.8445,11.5107,-272.67,0.6047,-0.448808,0.23293,6537.16,3832.17,,1004.31,5.35825,,,
209.81,210.81,1,1,Inverse relationship,0.540341,0.065,2.13306,0.568538,4.61189,6.60767,2.01527,0.913273,4.40373,72.9579,17.2321,139.713,46.6138,0.08996,26.5785,M1CbFu3,0.425805,468.131,0.879183,1.62951,3803.49,5098.38,6950.38,2280.32,1.58877,1.51452,663.975,2.8103,8.04793,-322.29,0.629599,-0.409437,0.0943984,6411.02,3797.71,,1004.95,5.36049,,,
210.81,211.81,1,1,Inverse relationship,0.266831,0.063,1.44598,0.219974,3.3648,1.861,1.27539,0.443797,9.56945,73.6753,17.9352,137.998,47.2904,0.27649,43.2405,M1CbFu3,0.409822,377.407,0.515774,1.0353,3828.1,5194.29,7367.76,2287.71,0.938916,0.97012,573.67,2.8537,3.69152,-349.77,0.649371,-0.448808,0.325336,6580.04,3904.12,,1006.78,5.3761,,,
